HHID	HHType	HHFormedDate	adultNames	childNames	address	
PRE-PRE-4478_singleHH	1	PRE	['PRE-4478']	[]	17477	
PRE-PRE-4877_singleHH	1	DEAD!	['PRE-4877']	[]	7267	
PRE-PRE-5467_singleHH	1	DEAD!	['PRE-5467']	[]	17957	
PRE-PRE-6118_singleHH	1	PRE	['PRE-6118']	[]	999999999	
PRE-PRE-1593_singleHH	1	PRE	['PRE-1593']	[]	8357	
PRE-PRE-3796_singleHH	1	PRE	['PRE-3796']	[]	999999999	
PRE-PRE-3073_singleHH	1	PRE	['PRE-3073']	[]	8696	
PRE-PRE-4089_singleHH	1	DEAD!	['PRE-4089']	[]	9490	
PRE-PRE-1744_singleHH	1	PRE	['PRE-1744']	[]	15445	
PRE-PRE-5512_singleHH	1	PRE	['PRE-5512']	[]	452	
PRE-PRE-768_singleHH	1	DEAD!	['PRE-768']	[]	15924	
PRE-PRE-802_singleHH	1	DEAD!	['PRE-802']	[]	18448	
PRE-PRE-273_singleHH	1	DEAD!	['PRE-273']	[]	20579	
PRE-PRE-867_singleHH	1	PRE	['PRE-867']	[]	9223	
PRE-PRE-2991_singleHH	1	PRE	['PRE-2991']	[]	19964	
PRE-PRE-880_singleHH	1	PRE	['PRE-880']	[]	10270	
PRE-PRE-6577_singleHH	1	DEAD!	['PRE-6577']	[]	2230	
PRE-PRE-2491_singleHH	1	PRE	['PRE-2491']	[]	999999999	
PRE-PRE-1101_singleHH	1	PRE	['PRE-1101']	[]	999999999	
PRE-PRE-5603_singleHH	1	PRE	['PRE-5603']	[]	8269	
PRE-PRE-872_singleHH	1	PRE	['PRE-872']	[]	15573	
PRE-PRE-2980_singleHH	1	PRE	['PRE-2980']	[]	16203	
PRE-PRE-6155_singleHH	1	DEAD!	['PRE-6155']	[]	5063	
PRE-PRE-6568_singleHH	1	PRE	['PRE-6568']	[]	5730	
PRE-PRE-833_M_PRE-736	2	PRE	['PRE-833', 'PRE-736']	[]	20263	
PRE-PRE-1048_singleHH	1	PRE	['PRE-1048']	[]	13742	
PRE-PRE-6596_singleHH	1	PRE	['PRE-6596']	[]	4928	
PRE-PRE-4031_singleHH	1	DEAD!	['PRE-4031']	[]	19995	
PRE-PRE-71_singleHH	1	DEAD!	['PRE-71']	[]	12411	
PRE-PRE-2276_singleHH	1	PRE	['PRE-2276']	[]	18995	
PRE-PRE-3399_singleHH	1	DEAD!	['PRE-3399']	[]	9284	
PRE-PRE-1624_M_PRE-1411	2	PRE	['PRE-1624', 'PRE-1411']	[]	16371	
PRE-PRE-1546_M_PRE-1398	2	PRE	['PRE-1546', 'PRE-1398']	['PRE-PRE-1546_M_PRE-1398_KID_0', 'PRE-PRE-1546_M_PRE-1398_KID_1']	20195	
PRE-PRE-4425_singleHH	1	PRE	['PRE-4425']	[]	999999999	
PRE-PRE-5710_singleHH	1	PRE	['PRE-5710']	[]	1556	
PRE-PRE-6391_singleHH	1	DEAD!	['PRE-6391']	[]	13405	
PRE-PRE-1596_singleHH	1	PRE	['PRE-1596']	[]	11082	
PRE-PRE-3790_singleHH	1	PRE	['PRE-3790']	[]	14801	
PRE-PRE-5648_singleHH	1	PRE	['PRE-5648']	[]	999999999	
PRE-PRE-2946_M_PRE-2716	2	PRE	['PRE-2946', 'PRE-2716']	[]	18974	
PRE-PRE-3657_singleHH	1	PRE	['PRE-3657']	[]	999999999	
PRE-PRE-1117_singleHH	1	PRE	['PRE-1117']	[]	10097	
PRE-PRE-1037_singleHH	1	DEAD!	['PRE-1037']	[]	15994	
PRE-PRE-730_singleHH	1	PRE	['PRE-730']	[]	10985	
PRE-PRE-2473_singleHH	1	PRE	['PRE-2473']	[]	11506	
PRE-PRE-2374_singleHH	1	DEAD!	['PRE-2374']	[]	7228	
PRE-PRE-3133_singleHH	1	PRE	['PRE-3133']	[]	19660	
PRE-PRE-1082_singleHH	1	PRE	['PRE-1082']	[]	17291	
PRE-PRE-6367_singleHH	1	PRE	['PRE-6367']	[]	4768	
PRE-PRE-5715_singleHH	1	DEAD!	['PRE-5715']	[]	6115	
PRE-PRE-804_M_PRE-721	2	PRE	['PRE-804', 'PRE-721']	['PRE-PRE-804_M_PRE-721_KID_0']	18609	
PRE-PRE-427_singleHH	1	DEAD!	['PRE-427']	[]	8002	
