HHID	HHType	HHFormedDate	adultNames	childNames	address	
371_singleHH	1	PRE	[371]	[]	7267	
424_417	2	PRE	[424, 417]	['424_417_KID_0', '424_417_KID_1']	20195	
183_152	2	PRE	[183, 152]	['183_152_KID_0', '183_152_KID_1', '183_152_KID_2']	18974	
564_singleHH	1	PRE	[564]	[]	8357	
227_singleHH	1	PRE	[227]	[]	17477	
280_singleHH	1	PRE	[280]	[]	8696	
228_singleHH	1	PRE	[228]	[]	15924	
553_singleHH	1	PRE	[553]	[]	9223	
157_singleHH	1	PRE	[157]	[]	999999999	
150_147	2	PRE	[150, 147]	['150_147_KID_0']	17957	
630_singleHH	1	PRE	[630]	[]	19964	
14_singleHH	1	PRE	[14]	[]	15445	
158_singleHH	1	PRE	[158]	[]	9490	
489_472	2	PRE	[489, 472]	['489_472_KID_0']	18448	
95_69	2	PRE	[95, 69]	['95_69_KID_0', '95_69_KID_1', '95_69_KID_2']	20579	
168_singleHH	1	PRE	[168]	[]	10270	
28_singleHH	1	PRE	[28]	[]	999999999	
86_singleHH	1	PRE	[86]	[]	2230	
163_singleHH	1	PRE	[163]	[]	18609	
98_singleHH	1	PRE	[98]	[]	15573	
296_singleHH	1	PRE	[296]	[]	16203	
215_singleHH	1	PRE	[215]	[]	452	
430_singleHH	1	PRE	[430]	[]	5730	
173_singleHH	1	PRE	[173]	[]	4928	
540_singleHH	1	PRE	[540]	[]	13880	
47_singleHH	1	PRE	[47]	[]	18995	
380_340	2	PRE	[380, 340]	['380_340_KID_0', '380_340_KID_1']	8269	
73_singleHH	1	PRE	[73]	[]	999999999	
282_singleHH	1	PRE	[282]	[]	20263	
388_singleHH	1	PRE	[388]	[]	11082	
481_singleHH	1	PRE	[481]	[]	5063	
10_singleHH	1	PRE	[10]	[]	19995	
159_singleHH	1	PRE	[159]	[]	13742	
387_singleHH	1	PRE	[387]	[]	10097	
279_277	2	PRE	[279, 277]	[]	15111	
559_singleHH	1	PRE	[559]	[]	12411	
174_singleHH	1	PRE	[174]	[]	10985	
235_singleHH	1	PRE	[235]	[]	16371	
633_singleHH	1	PRE	[633]	[]	9284	
446_singleHH	1	PRE	[446]	[]	999999999	
316_290	2	PRE	[316, 290]	['316_290_KID_0', '316_290_KID_1', '316_290_KID_2']	13405	
485_singleHH	1	PRE	[485]	[]	999999999	
223_219	2	PRE	[223, 219]	['223_219_KID_0', '223_219_KID_1']	14801	
514_singleHH	1	PRE	[514]	[]	11506	
177_singleHH	1	PRE	[177]	[]	1556	
449_singleHH	1	PRE	[449]	[]	999999999	
241_singleHH	1	PRE	[241]	[]	7228	
311_singleHH	1	PRE	[311]	[]	15994	
502_singleHH	1	PRE	[502]	[]	3432	
443_singleHH	1	PRE	[443]	[]	12361	
226_singleHH	1	PRE	[226]	[]	3824	
566_singleHH	1	PRE	[566]	[]	2913	
156_singleHH	1	PRE	[156]	[]	18018	
307_singleHH	1	PRE	[307]	[]	19660	
570_singleHH	1	PRE	[570]	[]	4768	
299_singleHH	1	PRE	[299]	[]	8002	
361_singleHH	1	PRE	[361]	[]	17291	
358_354	2	PRE	[358, 354]	['358_354_KID_0']	6240	
162_singleHH	1	PRE	[162]	[]	6115	
558_singleHH	1	PRE	[558]	[]	3588	
604_singleHH	1	PRE	[604]	[]	20285	
292_singleHH	1	PRE	[292]	[]	268	
573_singleHH	1	PRE	[573]	[]	11997	
37_singleHH	1	PRE	[37]	[]	14546	
315_singleHH	1	PRE	[315]	[]	2783	
6_singleHH	1	PRE	[6]	[]	17621	
281_singleHH	1	PRE	[281]	[]	15556	
357_singleHH	1	PRE	[357]	[]	17119	
166_singleHH	1	PRE	[166]	[]	3850	
438_singleHH	1	PRE	[438]	[]	10854	
293_singleHH	1	PRE	[293]	[]	999999999	
25_singleHH	1	PRE	[25]	[]	8779	
346_singleHH	1	PRE	[346]	[]	999999999	
356_singleHH	1	PRE	[356]	[]	5346	
484_singleHH	1	PRE	[484]	[]	12096	
85_67	2	PRE	[85, 67]	['85_67_KID_0', '85_67_KID_1', '85_67_KID_2']	9539	
68_74	2	PRE	[68, 74]	[]	5222	
546_singleHH	1	PRE	[546]	[]	3177	
471_467	2	PRE	[471, 467]	[]	3197	
350_singleHH	1	PRE	[350]	[]	999999999	
21_4	2	PRE	[21, 4]	['21_4_KID_0', '21_4_KID_1', '21_4_KID_2', '21_4_KID_3']	20978	
182_singleHH	1	PRE	[182]	[]	14703	
635_599	2	PRE	[635, 599]	['635_599_KID_0', '635_599_KID_1', '635_599_KID_2']	17056	
236_singleHH	1	PRE	[236]	[]	14942	
383_singleHH	1	PRE	[383]	[]	10968	
233_singleHH	1	PRE	[233]	[]	15087	
251_230	2	PRE	[251, 230]	[]	7596	
500_singleHH	1	PRE	[500]	[]	999999999	
303_singleHH	1	PRE	[303]	[]	15188	
185_singleHH	1	PRE	[185]	[]	19630	
642_singleHH	1	PRE	[642]	[]	4832	
