HHID	HHType	HHFormedDate	adultNames	childNames	address	
PRE-PRE-6070_singleHH	1	PRE	['PRE-6070']	[]	17477	
PRE-PRE-751_singleHH	1	DEAD!	['PRE-751']	[]	7267	
PRE-PRE-6308_M_PRE-6155	2	PRE	['PRE-6308', 'PRE-6155']	[]	17957	
PRE-PRE-939_M_PRE-728	2	PRE	['PRE-939', 'PRE-728']	[]	9490	
PRE-PRE-4877_singleHH	1	DEAD!	['PRE-4877']	[]	8357	
PRE-PRE-5467_singleHH	1	DEAD!	['PRE-5467']	[]	8696	
PRE-PRE-1727_M_PRE-1493	2	PRE	['PRE-1727', 'PRE-1493']	['PRE-PRE-1727_M_PRE-1493_KID_0', 'PRE-PRE-1727_M_PRE-1493_KID_1', 'PRE-PRE-1727_M_PRE-1493_KID_2', 'PRE-PRE-1727_M_PRE-1493_KID_3']	18448	
PRE-PRE-6118_singleHH	1	DEAD!	['PRE-6118']	[]	15924	
PRE-PRE-1593_singleHH	1	PRE	['PRE-1593']	[]	9223	
PRE-PRE-3796_singleHH	1	PRE	['PRE-3796']	[]	19964	
PRE-PRE-3073_singleHH	1	DEAD!	['PRE-3073']	[]	15573	
PRE-PRE-4089_singleHH	1	DEAD!	['PRE-4089']	[]	999999999	
PRE-PRE-1744_singleHH	1	PRE	['PRE-1744']	[]	20195	
PRE-PRE-5512_singleHH	1	PRE	['PRE-5512']	[]	999999999	
PRE-PRE-768_singleHH	1	DEAD!	['PRE-768']	[]	16203	
PRE-PRE-802_singleHH	1	PRE	['PRE-802']	[]	15445	
PRE-PRE-273_singleHH	1	PRE	['PRE-273']	[]	452	
PRE-PRE-867_singleHH	1	PRE	['PRE-867']	[]	20263	
PRE-PRE-2991_singleHH	1	PRE	['PRE-2991']	[]	5730	
PRE-PRE-880_singleHH	1	DEAD!	['PRE-880']	[]	19995	
PRE-PRE-2491_singleHH	1	PRE	['PRE-2491']	[]	18974	
PRE-PRE-1101_singleHH	1	DEAD!	['PRE-1101']	[]	9284	
PRE-PRE-5603_singleHH	1	DEAD!	['PRE-5603']	[]	18609	
PRE-PRE-872_singleHH	1	PRE	['PRE-872']	[]	20579	
