HHID	HHType	HHFormedDate	adultNames	childNames	address	
117_singleHH	1	PRE	[117]	[]	20195	
262_singleHH	1	PRE	[262]	[]	17477	
564_singleHH	1	PRE	[564]	[]	8696	
227_singleHH	1	PRE	[227]	[]	999999999	
280_singleHH	1	PRE	[280]	[]	7267	
228_singleHH	1	PRE	[228]	[]	8357	
470_singleHH	1	PRE	[470]	[]	15445	
553_singleHH	1	PRE	[553]	[]	17957	
86_singleHH	1	PRE	[86]	[]	999999999	
219_singleHH	1	PRE	[219]	[]	15924	
239_singleHH	1	PRE	[239]	[]	452	
519_singleHH	1	PRE	[519]	[]	999999999	
351_singleHH	1	PRE	[351]	[]	5730	
24_0	2	PRE	[24, 0]	['24_0_KID_0', '24_0_KID_1']	9490	
28_singleHH	1	PRE	[28]	[]	4928	
148_singleHH	1	PRE	[148]	[]	9223	
163_singleHH	1	PRE	[163]	[]	19964	
98_singleHH	1	PRE	[98]	[]	15573	
426_392	2	PRE	[426, 392]	['426_392_KID_0', '426_392_KID_1', '426_392_KID_2']	18448	
296_singleHH	1	PRE	[296]	[]	999999999	
215_singleHH	1	PRE	[215]	[]	18995	
173_singleHH	1	PRE	[173]	[]	16203	
47_singleHH	1	PRE	[47]	[]	20263	
344_singleHH	1	PRE	[344]	[]	999999999	
463_452	2	PRE	[463, 452]	['463_452_KID_0', '463_452_KID_1']	18974	
282_singleHH	1	PRE	[282]	[]	20579	
397_singleHH	1	PRE	[397]	[]	18609	
10_singleHH	1	PRE	[10]	[]	10270	
153_134	2	PRE	[153, 134]	['153_134_KID_0']	13880	
159_singleHH	1	PRE	[159]	[]	999999999	
611_singleHH	1	PRE	[611]	[]	11082	
327_singleHH	1	PRE	[327]	[]	10097	
393_singleHH	1	PRE	[393]	[]	19995	
406_singleHH	1	PRE	[406]	[]	9284	
395_singleHH	1	PRE	[395]	[]	2230	
409_singleHH	1	PRE	[409]	[]	15111	
586_singleHH	1	PRE	[586]	[]	1556	
343_singleHH	1	PRE	[343]	[]	10985	
464_singleHH	1	PRE	[464]	[]	3824	
354_singleHH	1	PRE	[354]	[]	15994	
490_474	2	PRE	[490, 474]	['490_474_KID_0', '490_474_KID_1', '490_474_KID_2', '490_474_KID_3']	3432	
485_singleHH	1	PRE	[485]	[]	8269	
481_459	2	PRE	[481, 459]	[]	5063	
205_singleHH	1	PRE	[205]	[]	13742	
566_singleHH	1	PRE	[566]	[]	12411	
156_singleHH	1	PRE	[156]	[]	17291	
95_singleHH	1	PRE	[95]	[]	16371	
539_singleHH	1	PRE	[539]	[]	13405	
21_singleHH	1	PRE	[21]	[]	2913	
299_singleHH	1	PRE	[299]	[]	14801	
404_singleHH	1	PRE	[404]	[]	11506	
99_singleHH	1	PRE	[99]	[]	268	
361_singleHH	1	PRE	[361]	[]	6115	
329_singleHH	1	PRE	[329]	[]	3588	
162_singleHH	1	PRE	[162]	[]	20285	
558_singleHH	1	PRE	[558]	[]	14546	
604_singleHH	1	PRE	[604]	[]	17621	
292_singleHH	1	PRE	[292]	[]	7228	
37_singleHH	1	PRE	[37]	[]	19660	
6_singleHH	1	PRE	[6]	[]	4768	
281_singleHH	1	PRE	[281]	[]	8002	
332_singleHH	1	PRE	[332]	[]	11997	
140_singleHH	1	PRE	[140]	[]	3197	
166_singleHH	1	PRE	[166]	[]	999999999	
293_singleHH	1	PRE	[293]	[]	2783	
278_singleHH	1	PRE	[278]	[]	10854	
204_singleHH	1	PRE	[204]	[]	15556	
25_singleHH	1	PRE	[25]	[]	8779	
346_singleHH	1	PRE	[346]	[]	12361	
9_singleHH	1	PRE	[9]	[]	5346	
356_singleHH	1	PRE	[356]	[]	5222	
226_singleHH	1	PRE	[226]	[]	3177	
546_singleHH	1	PRE	[546]	[]	14703	
350_singleHH	1	PRE	[350]	[]	14942	
458_singleHH	1	PRE	[458]	[]	999999999	
408_singleHH	1	PRE	[408]	[]	15087	
236_singleHH	1	PRE	[236]	[]	10968	
394_383	2	PRE	[394, 383]	['394_383_KID_0', '394_383_KID_1', '394_383_KID_2']	18018	
168_135	2	PRE	[168, 135]	['168_135_KID_0', '168_135_KID_1']	19630	
487_singleHH	1	PRE	[487]	[]	20619	
410_378	2	PRE	[410, 378]	['410_378_KID_0', '410_378_KID_1']	6240	
172_singleHH	1	PRE	[172]	[]	9539	
12_singleHH	1	PRE	[12]	[]	999999999	
415_388	2	PRE	[415, 388]	[]	4832	
11_singleHH	1	PRE	[11]	[]	17119	
136_singleHH	1	PRE	[136]	[]	999999999	
132_singleHH	1	PRE	[132]	[]	14010	
454_singleHH	1	PRE	[454]	[]	3850	
531_singleHH	1	PRE	[531]	[]	5012	
203_singleHH	1	PRE	[203]	[]	999999999	
348_singleHH	1	PRE	[348]	[]	6720	
209_singleHH	1	PRE	[209]	[]	12096	
199_196	2	PRE	[199, 196]	[]	8407	
352_singleHH	1	PRE	[352]	[]	7941	
167_singleHH	1	PRE	[167]	[]	1635	
497_457	2	PRE	[497, 457]	['497_457_KID_0', '497_457_KID_1']	16078	
149_singleHH	1	PRE	[149]	[]	16752	
71_singleHH	1	PRE	[71]	[]	20344	
554_singleHH	1	PRE	[554]	[]	20296	
297_266	2	PRE	[297, 266]	['297_266_KID_0', '297_266_KID_1', '297_266_KID_2', '297_266_KID_3']	20978	
461_singleHH	1	PRE	[461]	[]	15188	
41_singleHH	1	PRE	[41]	[]	6195	
164_singleHH	1	PRE	[164]	[]	20813	
137_127	2	PRE	[137, 127]	['137_127_KID_0']	4506	
31_singleHH	1	PRE	[31]	[]	13962	
355_singleHH	1	PRE	[355]	[]	999999999	
547_singleHH	1	PRE	[547]	[]	999999999	
424_389	2	PRE	[424, 389]	['424_389_KID_0', '424_389_KID_1']	16499	
495_singleHH	1	PRE	[495]	[]	910	
420_381	2	PRE	[420, 381]	['420_381_KID_0', '420_381_KID_1', '420_381_KID_2']	17056	
483_singleHH	1	PRE	[483]	[]	20522	
523_singleHH	1	PRE	[523]	[]	13119	
382_singleHH	1	PRE	[382]	[]	15052	
18_singleHH	1	PRE	[18]	[]	7596	
534_singleHH	1	PRE	[534]	[]	999999999	
479_singleHH	1	PRE	[479]	[]	999999999	
197_192	2	PRE	[197, 192]	[]	3597	
602_585	2	PRE	[602, 585]	['602_585_KID_0', '602_585_KID_1']	4552	
330_315	2	PRE	[330, 315]	['330_315_KID_0']	20251	
265_singleHH	1	PRE	[265]	[]	999999999	
496_singleHH	1	PRE	[496]	[]	8014	
591_singleHH	1	PRE	[591]	[]	1018	
567_singleHH	1	PRE	[567]	[]	10927	
550_singleHH	1	PRE	[550]	[]	999999999	
210_207	2	PRE	[210, 207]	['210_207_KID_0']	12655	
549_singleHH	1	PRE	[549]	[]	17541	
544_singleHH	1	PRE	[544]	[]	4305	
543_526	2	PRE	[543, 526]	['543_526_KID_0']	12027	
319_singleHH	1	PRE	[319]	[]	999999999	
274_singleHH	1	PRE	[274]	[]	1049	
614_singleHH	1	PRE	[614]	[]	14921	
155_singleHH	1	PRE	[155]	[]	16268	
270_singleHH	1	PRE	[270]	[]	13087	
345_singleHH	1	PRE	[345]	[]	2247	
276_singleHH	1	PRE	[276]	[]	220	
423_singleHH	1	PRE	[423]	[]	10162	
421_singleHH	1	PRE	[421]	[]	1278	
195_190	2	PRE	[195, 190]	['195_190_KID_0', '195_190_KID_1', '195_190_KID_2', '195_190_KID_3']	10196	
133_126	2	PRE	[133, 126]	['133_126_KID_0', '133_126_KID_1', '133_126_KID_2']	15274	
552_singleHH	1	PRE	[552]	[]	12466	
160_singleHH	1	PRE	[160]	[]	7975	
600_singleHH	1	PRE	[600]	[]	14473	
32_singleHH	1	PRE	[32]	[]	16799	
537_singleHH	1	PRE	[537]	[]	999999999	
26_singleHH	1	PRE	[26]	[]	4217	
379_380	2	PRE	[379, 380]	['379_380_KID_0', '379_380_KID_1', '379_380_KID_2']	18802	
300_singleHH	1	PRE	[300]	[]	14418	
142_singleHH	1	PRE	[142]	[]	8124	
23_singleHH	1	PRE	[23]	[]	3256	
105_singleHH	1	PRE	[105]	[]	8128	
283_singleHH	1	PRE	[283]	[]	4255	
536_singleHH	1	PRE	[536]	[]	11940	
222_singleHH	1	PRE	[222]	[]	11746	
601_singleHH	1	PRE	[601]	[]	15439	
486_singleHH	1	PRE	[486]	[]	18149	
216_singleHH	1	PRE	[216]	[]	5736	
20_singleHH	1	PRE	[20]	[]	12117	
146_130	2	PRE	[146, 130]	['146_130_KID_0']	17646	
530_singleHH	1	PRE	[530]	[]	999999999	
347_singleHH	1	PRE	[347]	[]	6003	
322_singleHH	1	PRE	[322]	[]	18317	
139_singleHH	1	PRE	[139]	[]	3020	
13_singleHH	1	PRE	[13]	[]	19993	
45_4	2	PRE	[45, 4]	['45_4_KID_0', '45_4_KID_1']	6463	
