HHID	HHType	HHFormedDate	adultNames	childNames	address	
PRE-PRE-385_singleHH	1	PRE	['PRE-385']	[]	17477	
PRE-PRE-337_singleHH	1	PRE	['PRE-337']	[]	17957	
PRE-PRE-93_singleHH	1	PRE	['PRE-93']	[]	7267	
PRE-PRE-149_singleHH	1	PRE	['PRE-149']	[]	8357	
PRE-PRE-438_singleHH	1	PRE	['PRE-438']	[]	15924	
PRE-PRE-449_singleHH	1	PRE	['PRE-449']	[]	20195	
PRE-PRE-486_singleHH	1	PRE	['PRE-486']	[]	8696	
PRE-PRE-471_singleHH	1	PRE	['PRE-471']	[]	18974	
PRE-PRE-151_singleHH	1	PRE	['PRE-151']	[]	15445	
PRE-PRE-466_singleHH	1	PRE	['PRE-466']	[]	9490	
PRE-PRE-39_singleHH	1	PRE	['PRE-39']	[]	9223	
PRE-PRE-367_singleHH	1	PRE	['PRE-367']	[]	19964	
PRE-PRE-472_singleHH	1	PRE	['PRE-472']	[]	452	
PRE-PRE-419_singleHH	1	PRE	['PRE-419']	[]	15573	
PRE-PRE-312_singleHH	1	PRE	['PRE-312']	[]	16203	
PRE-PRE-142_singleHH	1	PRE	['PRE-142']	[]	20263	
PRE-PRE-143_singleHH	1	PRE	['PRE-143']	[]	999999999	
PRE-PRE-328_singleHH	1	PRE	['PRE-328']	[]	18448	
PRE-PRE-484_singleHH	1	PRE	['PRE-484']	[]	5730	
PRE-PRE-394_singleHH	1	PRE	['PRE-394']	[]	4928	
PRE-PRE-202_singleHH	1	PRE	['PRE-202']	[]	20579	
PRE-PRE-306_singleHH	1	PRE	['PRE-306']	[]	999999999	
PRE-PRE-29_singleHH	1	PRE	['PRE-29']	[]	10270	
PRE-PRE-345_singleHH	1	PRE	['PRE-345']	[]	18995	
PRE-PRE-368_singleHH	1	PRE	['PRE-368']	[]	19995	
PRE-PRE-273_singleHH	1	PRE	['PRE-273']	[]	999999999	
PRE-PRE-60_singleHH	1	PRE	['PRE-60']	[]	2230	
PRE-PRE-425_singleHH	1	PRE	['PRE-425']	[]	8269	
PRE-PRE-113_singleHH	1	PRE	['PRE-113']	[]	5063	
PRE-PRE-222_singleHH	1	PRE	['PRE-222']	[]	11082	
PRE-PRE-481_singleHH	1	PRE	['PRE-481']	[]	10097	
PRE-PRE-322_singleHH	1	PRE	['PRE-322']	[]	999999999	
PRE-PRE-220_singleHH	1	PRE	['PRE-220']	[]	10985	
PRE-PRE-13_singleHH	1	PRE	['PRE-13']	[]	3824	
PRE-PRE-238_singleHH	1	PRE	['PRE-238']	[]	18609	
PRE-PRE-288_singleHH	1	PRE	['PRE-288']	[]	999999999	
PRE-PRE-148_singleHH	1	PRE	['PRE-148']	[]	999999999	
PRE-PRE-74_singleHH	1	PRE	['PRE-74']	[]	13742	
PRE-PRE-333_singleHH	1	PRE	['PRE-333']	[]	12411	
PRE-PRE-365_singleHH	1	PRE	['PRE-365']	[]	9284	
PRE-PRE-482_singleHH	1	PRE	['PRE-482']	[]	999999999	
PRE-PRE-123_singleHH	1	PRE	['PRE-123']	[]	999999999	
PRE-PRE-138_singleHH	1	PRE	['PRE-138']	[]	13880	
PRE-PRE-71_singleHH	1	PRE	['PRE-71']	[]	2913	
PRE-PRE-289_singleHH	1	PRE	['PRE-289']	[]	16371	
PRE-PRE-225_singleHH	1	PRE	['PRE-225']	[]	13405	
PRE-PRE-20_singleHH	1	PRE	['PRE-20']	[]	14801	
PRE-PRE-49_singleHH	1	PRE	['PRE-49']	[]	1556	
PRE-PRE-430_singleHH	1	PRE	['PRE-430']	[]	15994	
PRE-PRE-392_singleHH	1	PRE	['PRE-392']	[]	999999999	
PRE-PRE-409_singleHH	1	PRE	['PRE-409']	[]	11506	
PRE-PRE-132_singleHH	1	PRE	['PRE-132']	[]	999999999	
PRE-PRE-490_singleHH	1	PRE	['PRE-490']	[]	7228	
PRE-PRE-460_singleHH	1	PRE	['PRE-460']	[]	268	
PRE-PRE-286_singleHH	1	PRE	['PRE-286']	[]	17291	
PRE-PRE-173_singleHH	1	PRE	['PRE-173']	[]	6115	
PRE-PRE-319_singleHH	1	PRE	['PRE-319']	[]	19660	
PRE-PRE-159_singleHH	1	PRE	['PRE-159']	[]	3588	
PRE-PRE-213_singleHH	1	PRE	['PRE-213']	[]	17621	
PRE-PRE-269_singleHH	1	PRE	['PRE-269']	[]	4768	
PRE-PRE-381_singleHH	1	PRE	['PRE-381']	[]	999999999	
PRE-PRE-369_singleHH	1	PRE	['PRE-369']	[]	999999999	
PRE-PRE-338_singleHH	1	PRE	['PRE-338']	[]	8002	
PRE-PRE-415_singleHH	1	PRE	['PRE-415']	[]	11997	
PRE-PRE-27_singleHH	1	PRE	['PRE-27']	[]	20285	
PRE-PRE-87_singleHH	1	PRE	['PRE-87']	[]	14546	
PRE-PRE-424_singleHH	1	PRE	['PRE-424']	[]	2783	
PRE-PRE-235_singleHH	1	PRE	['PRE-235']	[]	3197	
PRE-PRE-499_singleHH	1	PRE	['PRE-499']	[]	10854	
PRE-PRE-494_singleHH	1	PRE	['PRE-494']	[]	14703	
PRE-PRE-129_singleHH	1	PRE	['PRE-129']	[]	15556	
PRE-PRE-162_singleHH	1	PRE	['PRE-162']	[]	8779	
PRE-PRE-88_singleHH	1	PRE	['PRE-88']	[]	14942	
PRE-PRE-206_singleHH	1	PRE	['PRE-206']	[]	5346	
PRE-PRE-353_singleHH	1	PRE	['PRE-353']	[]	5222	
PRE-PRE-290_singleHH	1	PRE	['PRE-290']	[]	17119	
PRE-PRE-275_singleHH	1	PRE	['PRE-275']	[]	3177	
PRE-PRE-457_singleHH	1	PRE	['PRE-457']	[]	15087	
PRE-PRE-469_singleHH	1	PRE	['PRE-469']	[]	10968	
PRE-PRE-435_singleHH	1	PRE	['PRE-435']	[]	20619	
PRE-PRE-488_singleHH	1	PRE	['PRE-488']	[]	19630	
PRE-PRE-336_singleHH	1	PRE	['PRE-336']	[]	5012	
PRE-PRE-453_singleHH	1	PRE	['PRE-453']	[]	6720	
PRE-PRE-69_singleHH	1	PRE	['PRE-69']	[]	4832	
PRE-PRE-270_singleHH	1	PRE	['PRE-270']	[]	3850	
PRE-PRE-470_singleHH	1	PRE	['PRE-470']	[]	8407	
PRE-PRE-464_singleHH	1	PRE	['PRE-464']	[]	999999999	
PRE-PRE-427_singleHH	1	PRE	['PRE-427']	[]	14010	
PRE-PRE-36_singleHH	1	PRE	['PRE-36']	[]	15111	
PRE-PRE-252_singleHH	1	PRE	['PRE-252']	[]	20344	
PRE-PRE-340_singleHH	1	PRE	['PRE-340']	[]	999999999	
PRE-PRE-383_singleHH	1	PRE	['PRE-383']	[]	7941	
PRE-PRE-411_singleHH	1	PRE	['PRE-411']	[]	20296	
PRE-PRE-262_singleHH	1	PRE	['PRE-262']	[]	1635	
PRE-PRE-237_singleHH	1	PRE	['PRE-237']	[]	12096	
PRE-PRE-441_singleHH	1	PRE	['PRE-441']	[]	16078	
PRE-PRE-450_singleHH	1	PRE	['PRE-450']	[]	910	
PRE-PRE-400_singleHH	1	PRE	['PRE-400']	[]	20522	
PRE-PRE-4_singleHH	1	PRE	['PRE-4']	[]	16752	
PRE-PRE-105_singleHH	1	PRE	['PRE-105']	[]	15188	
PRE-PRE-444_singleHH	1	PRE	['PRE-444']	[]	10927	
PRE-PRE-375_singleHH	1	PRE	['PRE-375']	[]	6195	
PRE-PRE-34_singleHH	1	PRE	['PRE-34']	[]	999999999	
PRE-PRE-474_singleHH	1	PRE	['PRE-474']	[]	20813	
PRE-PRE-172_singleHH	1	PRE	['PRE-172']	[]	1049	
PRE-PRE-391_singleHH	1	PRE	['PRE-391']	[]	13087	
PRE-PRE-32_singleHH	1	PRE	['PRE-32']	[]	4506	
PRE-PRE-192_singleHH	1	PRE	['PRE-192']	[]	12466	
PRE-PRE-40_singleHH	1	PRE	['PRE-40']	[]	999999999	
PRE-PRE-317_singleHH	1	PRE	['PRE-317']	[]	14473	
PRE-PRE-26_singleHH	1	PRE	['PRE-26']	[]	13119	
PRE-PRE-320_singleHH	1	PRE	['PRE-320']	[]	999999999	
PRE-PRE-119_singleHH	1	PRE	['PRE-119']	[]	13962	
PRE-PRE-55_singleHH	1	PRE	['PRE-55']	[]	4217	
PRE-PRE-51_singleHH	1	PRE	['PRE-51']	[]	16499	
PRE-PRE-255_singleHH	1	PRE	['PRE-255']	[]	14921	
PRE-PRE-410_singleHH	1	PRE	['PRE-410']	[]	15052	
PRE-PRE-167_singleHH	1	PRE	['PRE-167']	[]	14418	
PRE-PRE-12_singleHH	1	PRE	['PRE-12']	[]	1018	
PRE-PRE-64_singleHH	1	PRE	['PRE-64']	[]	999999999	
PRE-PRE-327_singleHH	1	PRE	['PRE-327']	[]	10162	
PRE-PRE-153_singleHH	1	PRE	['PRE-153']	[]	12655	
PRE-PRE-437_singleHH	1	PRE	['PRE-437']	[]	15439	
PRE-PRE-304_singleHH	1	PRE	['PRE-304']	[]	17541	
PRE-PRE-122_singleHH	1	PRE	['PRE-122']	[]	5736	
PRE-PRE-171_singleHH	1	PRE	['PRE-171']	[]	4305	
PRE-PRE-217_singleHH	1	PRE	['PRE-217']	[]	16268	
PRE-PRE-68_singleHH	1	PRE	['PRE-68']	[]	999999999	
PRE-PRE-137_singleHH	1	PRE	['PRE-137']	[]	2247	
PRE-PRE-420_singleHH	1	PRE	['PRE-420']	[]	220	
PRE-PRE-266_singleHH	1	PRE	['PRE-266']	[]	6003	
PRE-PRE-431_singleHH	1	PRE	['PRE-431']	[]	1278	
PRE-PRE-112_singleHH	1	PRE	['PRE-112']	[]	7975	
PRE-PRE-61_singleHH	1	PRE	['PRE-61']	[]	999999999	
PRE-PRE-380_singleHH	1	PRE	['PRE-380']	[]	999999999	
PRE-PRE-496_singleHH	1	PRE	['PRE-496']	[]	16799	
PRE-PRE-183_singleHH	1	PRE	['PRE-183']	[]	15274	
PRE-PRE-126_singleHH	1	PRE	['PRE-126']	[]	18802	
PRE-PRE-108_singleHH	1	PRE	['PRE-108']	[]	999999999	
PRE-PRE-57_singleHH	1	PRE	['PRE-57']	[]	11746	
PRE-PRE-489_singleHH	1	PRE	['PRE-489']	[]	14715	
PRE-PRE-189_singleHH	1	PRE	['PRE-189']	[]	3432	
PRE-PRE-316_singleHH	1	PRE	['PRE-316']	[]	8124	
PRE-PRE-164_singleHH	1	PRE	['PRE-164']	[]	12117	
PRE-PRE-241_singleHH	1	PRE	['PRE-241']	[]	2838	
PRE-PRE-25_singleHH	1	PRE	['PRE-25']	[]	3256	
PRE-PRE-0_singleHH	1	PRE	['PRE-0']	[]	13675	
PRE-PRE-443_singleHH	1	PRE	['PRE-443']	[]	4830	
PRE-PRE-264_singleHH	1	PRE	['PRE-264']	[]	18317	
PRE-PRE-53_singleHH	1	PRE	['PRE-53']	[]	20736	
PRE-PRE-199_singleHH	1	PRE	['PRE-199']	[]	3020	
PRE-PRE-404_singleHH	1	PRE	['PRE-404']	[]	8128	
PRE-PRE-94_singleHH	1	PRE	['PRE-94']	[]	14607	
