HHID	HHType	HHFormedDate	adultNames	childNames	address	
PRE-PRE-36547_singleHH	1	PRE	['PRE-36547']	[]	7267	
PRE-PRE-10549_singleHH	1	PRE	['PRE-10549']	[]	20195	
PRE-PRE-12538_singleHH	1	PRE	['PRE-12538']	[]	8357	
PRE-PRE-5315_singleHH	1	PRE	['PRE-5315']	[]	15924	
PRE-PRE-27166_singleHH	1	PRE	['PRE-27166']	[]	9223	
PRE-PRE-28707_singleHH	1	PRE	['PRE-28707']	[]	19964	
PRE-PRE-12304_singleHH	1	PRE	['PRE-12304']	[]	17477	
PRE-PRE-17283_singleHH	1	PRE	['PRE-17283']	[]	18974	
PRE-PRE-28181_singleHH	1	PRE	['PRE-28181']	[]	15573	
PRE-PRE-13160_singleHH	1	PRE	['PRE-13160']	[]	999999999	
PRE-PRE-42999_singleHH	1	PRE	['PRE-42999']	[]	17957	
PRE-PRE-1593_singleHH	1	PRE	['PRE-1593']	[]	18609	
PRE-PRE-35046_singleHH	1	PRE	['PRE-35046']	[]	8696	
PRE-PRE-26601_singleHH	1	PRE	['PRE-26601']	[]	15445	
PRE-PRE-13619_singleHH	1	PRE	['PRE-13619']	[]	16203	
PRE-PRE-6903_singleHH	1	PRE	['PRE-6903']	[]	9490	
PRE-PRE-18110_singleHH	1	PRE	['PRE-18110']	[]	452	
PRE-PRE-24580_singleHH	1	PRE	['PRE-24580']	[]	13880	
PRE-PRE-11037_singleHH	1	PRE	['PRE-11037']	[]	20263	
PRE-PRE-14668_singleHH	1	PRE	['PRE-14668']	[]	5730	
PRE-PRE-46394_singleHH	1	PRE	['PRE-46394']	[]	19995	
PRE-PRE-17112_singleHH	1	PRE	['PRE-17112']	[]	9284	
PRE-PRE-36185_singleHH	1	PRE	['PRE-36185']	[]	1556	
PRE-PRE-29044_singleHH	1	PRE	['PRE-29044']	[]	999999999	
PRE-PRE-24100_singleHH	1	PRE	['PRE-24100']	[]	15994	
PRE-PRE-10755_singleHH	1	PRE	['PRE-10755']	[]	4928	
PRE-PRE-35318_singleHH	1	PRE	['PRE-35318']	[]	18448	
PRE-PRE-14174_singleHH	1	PRE	['PRE-14174']	[]	18995	
PRE-PRE-44220_singleHH	1	PRE	['PRE-44220']	[]	20579	
PRE-PRE-768_singleHH	1	PRE	['PRE-768']	[]	10270	
PRE-PRE-30029_singleHH	1	PRE	['PRE-30029']	[]	999999999	
PRE-PRE-7506_singleHH	1	PRE	['PRE-7506']	[]	999999999	
PRE-PRE-22076_singleHH	1	PRE	['PRE-22076']	[]	11082	
PRE-PRE-30824_singleHH	1	PRE	['PRE-30824']	[]	10097	
PRE-PRE-27733_singleHH	1	PRE	['PRE-27733']	[]	17291	
PRE-PRE-20544_singleHH	1	PRE	['PRE-20544']	[]	2230	
PRE-PRE-12563_singleHH	1	PRE	['PRE-12563']	[]	8269	
PRE-PRE-21265_singleHH	1	PRE	['PRE-21265']	[]	5063	
PRE-PRE-37512_singleHH	1	PRE	['PRE-37512']	[]	999999999	
PRE-PRE-49963_singleHH	1	PRE	['PRE-49963']	[]	15111	
PRE-PRE-33378_singleHH	1	PRE	['PRE-33378']	[]	6115	
PRE-PRE-4581_singleHH	1	PRE	['PRE-4581']	[]	999999999	
PRE-PRE-31457_singleHH	1	PRE	['PRE-31457']	[]	3432	
PRE-PRE-46102_singleHH	1	PRE	['PRE-46102']	[]	3588	
PRE-PRE-26983_singleHH	1	PRE	['PRE-26983']	[]	10985	
PRE-PRE-17128_singleHH	1	PRE	['PRE-17128']	[]	20285	
PRE-PRE-6577_singleHH	1	PRE	['PRE-6577']	[]	13742	
PRE-PRE-10659_singleHH	1	PRE	['PRE-10659']	[]	14546	
PRE-PRE-34184_singleHH	1	PRE	['PRE-34184']	[]	12411	
PRE-PRE-43956_singleHH	1	PRE	['PRE-43956']	[]	2783	
PRE-PRE-872_singleHH	1	PRE	['PRE-872']	[]	10854	
PRE-PRE-2980_singleHH	1	PRE	['PRE-2980']	[]	999999999	
PRE-PRE-15186_singleHH	1	PRE	['PRE-15186']	[]	8779	
PRE-PRE-3585_singleHH	1	PRE	['PRE-3585']	[]	16371	
PRE-PRE-15930_singleHH	1	PRE	['PRE-15930']	[]	13405	
PRE-PRE-22970_singleHH	1	PRE	['PRE-22970']	[]	14801	
PRE-PRE-1048_singleHH	1	PRE	['PRE-1048']	[]	3824	
PRE-PRE-24360_singleHH	1	PRE	['PRE-24360']	[]	2913	
PRE-PRE-26625_singleHH	1	PRE	['PRE-26625']	[]	11506	
PRE-PRE-38751_singleHH	1	PRE	['PRE-38751']	[]	999999999	
PRE-PRE-36039_singleHH	1	PRE	['PRE-36039']	[]	7228	
PRE-PRE-30623_singleHH	1	PRE	['PRE-30623']	[]	19660	
PRE-PRE-45386_singleHH	1	PRE	['PRE-45386']	[]	5346	
PRE-PRE-6044_singleHH	1	PRE	['PRE-6044']	[]	4768	
PRE-PRE-42077_singleHH	1	PRE	['PRE-42077']	[]	268	
PRE-PRE-39717_singleHH	1	PRE	['PRE-39717']	[]	999999999	
PRE-PRE-8148_singleHH	1	PRE	['PRE-8148']	[]	999999999	
PRE-PRE-29228_singleHH	1	PRE	['PRE-29228']	[]	17621	
PRE-PRE-71_singleHH	1	PRE	['PRE-71']	[]	8002	
PRE-PRE-47270_singleHH	1	PRE	['PRE-47270']	[]	11997	
PRE-PRE-36687_singleHH	1	PRE	['PRE-36687']	[]	3197	
PRE-PRE-27411_singleHH	1	PRE	['PRE-27411']	[]	14703	
PRE-PRE-30710_singleHH	1	PRE	['PRE-30710']	[]	5222	
PRE-PRE-41895_singleHH	1	PRE	['PRE-41895']	[]	14942	
PRE-PRE-36676_singleHH	1	PRE	['PRE-36676']	[]	3177	
PRE-PRE-5908_singleHH	1	PRE	['PRE-5908']	[]	15087	
PRE-PRE-23438_singleHH	1	PRE	['PRE-23438']	[]	10968	
PRE-PRE-21470_singleHH	1	PRE	['PRE-21470']	[]	15556	
PRE-PRE-13467_singleHH	1	PRE	['PRE-13467']	[]	999999999	
PRE-PRE-24654_singleHH	1	PRE	['PRE-24654']	[]	19630	
PRE-PRE-5710_singleHH	1	PRE	['PRE-5710']	[]	4832	
