Area	Name	Age	MarriageStatus	kidsAges	StudentD	Income	Housetype	nRooms	JobType
1	0	22	0	[]	0	15700	3	3	1	
1	1	27	1	[14, 0, 3]	0	10283	3	2	1	
1	2	21	0	[11]	1	11728	3	4	1	
1	3	35	1	[]	0	13473	3	2	1	
1	4	18	1	[]	0	722	3	5	1	
1	5	35	1	[]	1	6030	2	2	0	
1	6	81	0	[8, 17]	0	2435	3	2	2	
1	7	25	0	[]	2	19211	1	1	1	
1	8	20	0	[15, 12, 8]	1	14762	3	3	1	
1	9	20	0	[10, 7]	1	22894	3	3	1	
1	10	26	0	[0, 12, 13]	0	115246	2	3	1	
1	11	27	0	[17, 1]	2	1946	3	2	1	
1	12	29	1	[0, 11]	0	2546	2	2	1	
1	13	25	0	[11, 3, 13, 5]	0	103160	3	4	1	
1	14	33	0	[10, 9, 0, 12]	0	3190	3	3	1	
1	15	19	1	[1]	1	9434	3	3	1	
1	16	72	0	[5, 3, 1, 11]	0	117969	3	3	2	
1	17	22	0	[11, 0, 10, 2]	3	2649	3	3	1	
1	18	63	0	[13, 14]	0	1895	3	2	1	
1	19	21	0	[]	2	2970	3	3	1	
1	20	27	0	[4]	0	1325	3	5	1	
1	21	20	0	[13, 13, 7]	2	3076	2	3	1	
1	22	30	0	[9, 0, 1]	0	13006	1	1	0	
1	23	19	0	[12, 12, 5]	0	15196	3	4	1	
1	24	54	0	[9, 9, 0, 12]	0	110477	3	5	1	
1	25	19	0	[]	3	16558	1	2	1	
1	26	31	0	[16, 15, 13]	0	15125	1	2	1	
1	27	50	0	[6]	0	106756	1	2	1	
1	28	44	0	[0]	0	14870	3	3	1	
1	29	31	0	[]	1	16382	1	2	1	
1	30	23	1	[12, 8, 17, 1]	0	3123	1	2	1	
1	31	31	0	[17, 6, 15]	1	8566	3	5	1	
1	32	24	0	[11, 3]	0	2614	3	3	1	
1	33	39	0	[]	0	115216	3	3	1	
1	34	73	0	[12, 2, 10, 6]	0	14104	1	1	2	
1	35	20	1	[14, 1, 9]	0	3758	3	2	1	
1	36	51	0	[]	0	15790	3	2	1	
1	37	37	0	[0, 9, 15, 17]	0	2964	1	2	1	
1	38	36	0	[9, 7, 0]	0	15572	3	3	1	
1	39	34	1	[14, 5, 10]	0	14039	3	2	1	
1	40	78	0	[]	0	102832	3	3	2	
1	41	18	1	[6, 8, 12]	1	14376	3	4	1	
1	42	29	0	[4, 17]	0	13495	3	5	1	
1	43	73	0	[6, 11]	0	105566	2	3	2	
1	44	39	1	[13, 16]	0	9122	3	5	1	
1	45	38	0	[16, 9]	0	4251	3	3	1	
1	46	53	0	[]	0	3205	3	4	1	
1	47	44	0	[1, 3, 16, 0]	0	2229	3	3	0	
1	48	20	1	[2]	0	110144	1	2	1	
1	49	35	0	[17, 13, 10]	0	111896	3	2	1	
1	50	28	0	[8, 11, 2]	0	117089	3	3	1	
1	51	22	0	[2]	3	19213	3	5	1	
1	52	69	0	[5, 11, 4, 8]	0	5602	3	2	2	
1	53	23	0	[7]	0	14575	3	4	1	
1	54	39	0	[16, 1, 17]	0	5166	3	3	1	
1	55	50	0	[10, 17]	0	4373	3	4	1	
1	56	66	0	[4, 15, 8, 8]	0	13646	1	2	2	
1	57	47	0	[3]	0	114958	3	2	1	
