Area	Name	Age	MarriageStatus	kidsAges	StudentD	Income	Housetype	nRooms	JobType
1	0	19	0	[4, 9, 17, 17]	3	10504	1	1	1	
1	1	21	0	[13, 13, 7, 6]	1	19664	3	3	1	
1	2	52	0	[16, 3, 9]	0	2922	2	2	1	
1	3	65	0	[]	0	379	3	5	1	
1	4	49	0	[9]	0	7760	3	4	1	
1	5	68	0	[]	0	13747	3	4	2	
1	6	37	1	[10, 2, 16]	0	9362	1	2	1	
1	7	79	1	[16, 8]	0	15681	2	3	2	
1	8	29	0	[11, 9]	0	13205	3	3	1	
1	9	21	1	[11, 1, 8]	1	24858	3	3	1	
1	10	66	0	[2, 12]	0	2474	3	3	2	
1	11	55	0	[13, 9, 10]	0	2816	3	3	1	
1	12	25	1	[9, 15]	2	25859	3	5	1	
1	13	38	0	[0, 4]	0	101135	2	3	1	
1	14	43	0	[7]	0	4495	3	3	1	
1	15	21	0	[16, 3, 1]	3	18984	3	3	1	
1	16	55	0	[15]	0	3146	1	1	1	
1	17	43	0	[10, 5, 3, 7]	0	13939	2	3	1	
1	18	56	0	[14, 0, 11, 5]	0	10076	3	3	1	
1	19	23	0	[0, 13, 0, 10]	0	14720	3	2	1	
1	20	20	0	[5]	1	16959	3	2	1	
1	21	21	0	[5, 16]	1	13198	3	3	1	
1	22	19	1	[17, 17]	1	13798	3	2	1	
1	23	20	0	[1, 14]	1	24104	1	2	1	
1	24	34	0	[]	0	2772	3	3	1	
1	25	21	1	[17, 0]	0	351	3	3	1	
1	26	22	0	[6]	1	7124	3	4	1	
1	27	45	0	[10, 5, 11]	0	7458	1	2	1	
1	28	21	1	[14, 9, 2, 1]	2	17764	3	3	1	
1	29	25	0	[6, 4]	2	8481	3	2	1	
1	30	23	1	[9, 4, 17, 3]	0	101599	1	1	1	
1	31	25	1	[]	1	9939	3	2	1	
1	32	76	0	[1, 10]	0	14056	3	3	2	
1	33	21	1	[4, 5]	2	1155	1	2	1	
1	34	44	0	[12, 1]	0	108347	3	2	1	
1	35	50	0	[6, 5, 15, 0]	0	13984	3	5	1	
1	36	19	1	[]	1	15970	3	5	1	
1	37	24	0	[4, 8, 7, 14]	2	18408	3	3	1	
1	38	20	0	[]	0	10213	3	4	1	
1	39	27	0	[]	0	2413	3	5	1	
1	40	49	0	[9, 7, 10]	0	13656	3	3	1	
1	41	30	1	[7, 15, 2]	0	13872	1	1	1	
1	42	47	0	[16, 10]	0	9137	3	3	1	
1	43	23	0	[2, 0]	0	14165	1	1	1	
1	44	42	0	[16, 14, 15]	0	14670	1	1	1	
1	45	32	1	[7, 5]	0	13498	3	3	1	
1	46	21	0	[14, 1, 15, 17]	0	114465	3	4	1	
1	47	55	0	[]	0	12254	1	2	1	
1	48	52	0	[3, 8, 8, 8]	0	14779	1	2	1	
1	49	32	0	[]	0	2929	3	3	1	
1	50	36	0	[9, 7, 12]	0	13171	3	5	1	
1	51	27	1	[9, 9, 3]	3	27035	1	2	1	
1	52	31	0	[14, 5, 3, 11]	0	11506	2	3	1	
1	53	22	1	[12]	3	4531	3	3	1	
1	54	52	0	[12, 9, 10]	0	98851	1	2	1	
1	55	21	0	[4, 13, 4]	2	15052	3	3	1	
1	56	32	0	[]	0	15427	3	2	1	
1	57	24	0	[0, 4, 1, 12]	3	4326	1	1	0	
1	58	81	1	[11, 12]	0	3178	3	2	2	
1	59	39	0	[8, 13]	0	14982	1	2	1	
1	60	62	1	[15, 14, 10]	0	2390	1	2	1	
1	61	27	1	[8, 10]	0	11661	1	1	1	
1	62	87	1	[12, 16, 8]	3	119000	1	2	2	
1	63	68	0	[7, 7, 17]	0	11887	3	3	2	
1	64	21	0	[0]	0	12116	1	3	1	
1	65	22	1	[4, 16, 16, 1]	1	15135	1	3	1	
1	66	59	1	[6, 9, 3]	0	114658	3	3	1	
1	67	42	0	[2, 10, 6]	0	2647	3	3	1	
1	68	21	1	[4]	0	5772	3	3	1	
1	69	56	0	[5]	0	13410	3	3	1	
1	70	35	1	[11]	0	15639	3	2	1	
1	71	23	0	[]	0	14092	1	2	1	
1	72	26	0	[9, 11, 0]	1	2138	3	5	0	
1	73	61	1	[2, 10, 1]	0	2072	3	4	1	
1	74	26	1	[]	0	13968	3	3	1	
1	75	29	0	[1, 8, 1, 6]	3	4494	1	1	1	
1	76	40	1	[13, 5]	0	3611	3	5	0	
1	77	28	0	[17, 7, 10]	0	2147	1	3	1	
1	78	47	0	[]	0	12883	1	2	1	
1	79	83	1	[3, 6, 6]	0	2371	3	4	2	
1	80	19	0	[2, 2, 12]	0	12829	3	2	1	
1	81	24	0	[16, 5, 12, 2]	0	5817	1	2	1	
1	82	46	0	[0]	0	523	3	5	1	
1	83	25	0	[9, 12]	1	3249	3	2	1	
1	84	44	0	[0]	0	3278	3	5	1	
1	85	21	0	[8, 1, 7, 2]	0	117178	3	3	1	
1	86	26	1	[2, 14, 1]	0	109946	3	4	1	
1	87	24	0	[5, 13]	0	15766	1	2	1	
1	88	24	0	[10, 8, 5, 2]	0	11672	1	3	1	
1	89	80	0	[]	0	5922	3	5	2	
1	90	41	0	[9, 13, 13, 13]	0	100658	3	3	0	
1	91	34	1	[6]	2	4641	3	5	1	
1	92	42	1	[5, 16]	0	1598	3	3	1	
1	93	23	0	[13]	0	103726	3	3	1	
1	94	21	0	[12, 9, 7]	1	22673	1	1	1	
1	95	51	1	[]	0	2812	2	2	1	
1	96	19	0	[11, 13]	0	2891	1	1	1	
1	97	64	0	[16, 3]	0	5379	3	2	1	
1	98	37	1	[9, 12, 7, 11]	0	7552	1	2	1	
1	99	33	0	[6, 11, 12, 17]	0	2786	2	4	1	
1	100	56	0	[12, 2, 12, 17]	0	11656	3	2	0	
1	101	21	0	[]	0	2415	3	2	0	
1	102	25	0	[14, 3, 3, 2]	1	12155	3	3	1	
1	103	78	1	[12]	0	14130	1	2	2	
1	104	45	0	[]	0	2558	2	3	1	
1	105	48	1	[9]	0	9536	3	5	1	
1	106	56	1	[]	0	2981	3	5	1	
1	107	37	1	[]	0	14513	3	2	1	
1	108	41	0	[4]	0	12585	3	5	1	
1	109	49	0	[5]	0	2486	3	4	1	
1	110	40	1	[0]	0	14260	3	3	1	
1	111	56	1	[9]	0	3180	1	2	0	
1	112	20	0	[15]	3	488	2	3	1	
1	113	35	1	[8, 3]	0	3003	3	3	1	
1	114	33	0	[5, 13]	0	15369	3	3	1	
1	115	20	0	[0, 2, 2]	0	10374	3	3	1	
1	116	49	0	[0, 10, 9, 11]	0	116037	1	2	1	
1	117	33	1	[8, 0, 13, 11]	0	11998	1	2	1	
1	118	55	0	[8]	0	2981	1	1	1	
1	119	72	1	[4, 6]	0	5772	3	5	2	
1	120	60	0	[]	0	13923	3	4	1	
1	121	22	0	[13, 13]	2	4507	1	2	0	
1	122	62	0	[]	0	2600	3	2	1	
1	123	75	0	[1, 7, 2]	0	14621	3	4	2	
1	124	49	1	[16, 12]	0	11491	1	2	0	
1	125	55	1	[0, 12, 4]	0	5060	3	3	1	
1	126	71	1	[17, 11, 5]	0	1297	1	2	2	
1	127	65	0	[1, 3, 2]	0	3164	3	5	1	
1	128	28	0	[14]	0	95244	3	3	1	
1	129	82	1	[14, 3, 10, 12]	0	2970	3	5	2	
1	130	34	0	[16]	0	98267	2	3	1	
1	131	77	0	[5, 4, 14]	0	12732	2	2	2	
1	132	21	1	[17]	1	16825	3	3	1	
1	133	28	1	[3, 16, 16]	0	2716	3	3	1	
1	134	47	1	[5, 8, 13, 9]	0	2859	3	4	1	
1	135	23	0	[4, 7, 7, 10]	2	4546	3	4	1	
1	136	49	0	[3, 5, 2]	0	100554	3	3	1	
1	137	31	0	[1, 8, 7, 11]	0	7588	3	4	1	
1	138	45	0	[15]	0	100356	1	2	1	
1	139	30	0	[6]	0	4653	1	2	1	
1	140	68	1	[15, 11, 3]	0	99721	1	2	2	
1	141	51	0	[0, 14]	0	99306	3	4	1	
1	142	60	1	[9, 10]	0	115958	3	3	1	
1	143	19	0	[0]	1	4568	3	2	1	
1	144	26	0	[12, 15, 3, 2]	0	6110	3	3	0	
1	145	29	0	[]	0	84	3	2	0	
1	146	46	0	[]	0	101626	3	4	1	
1	147	26	1	[14, 1]	0	13106	3	4	1	
1	148	76	1	[]	0	13998	1	3	2	
1	149	60	1	[]	0	12248	3	3	1	
1	150	64	0	[15]	0	2811	3	3	1	
1	151	25	0	[11]	1	5609	3	5	1	
1	152	51	1	[9, 12]	0	8357	1	2	1	
1	153	40	0	[]	0	7799	1	2	0	
1	154	56	0	[8, 8, 9, 14]	0	9659	3	2	1	
1	155	56	0	[]	0	107498	3	3	1	
1	156	22	0	[15, 14, 6, 2]	3	7702	3	2	1	
1	157	33	0	[11]	0	112954	3	3	1	
1	158	71	0	[6, 16, 4, 2]	0	3995	1	1	2	
1	159	76	0	[3]	0	3821	3	3	2	
1	160	34	0	[]	0	11432	3	4	1	
1	161	47	1	[11]	0	2778	3	4	1	
1	162	22	0	[1, 0]	1	14152	3	4	1	
1	163	34	0	[]	0	14447	3	4	0	
1	164	47	1	[13]	0	8854	3	3	0	
1	165	56	1	[1, 13, 3, 13]	0	2935	3	3	1	
1	166	45	0	[10, 7, 5]	0	301	3	4	1	
1	167	19	0	[17]	1	8073	1	1	1	
1	168	19	0	[8, 4]	0	97042	1	1	1	
1	169	49	0	[12, 14]	0	1727	1	3	1	
1	170	26	0	[15, 10, 3]	0	95634	1	2	1	
1	171	33	0	[2, 17, 17]	0	8324	2	3	1	
1	172	18	0	[5]	0	14042	3	3	1	
1	173	58	0	[16, 7, 14]	0	12544	3	5	1	
1	174	25	1	[9, 10]	2	1466	3	5	1	
1	175	48	1	[0, 13, 10, 5]	0	14272	3	3	1	
